LEFT LOW-WEAVE CLOCKWISE FIXED-TARGET TURN CANDIDATES,,,,,,,
Status,CANDIDATES — endpoints generated from Mel; shortest bridges generated from the current partial low-reel topology; not physically verified.,,,,,,
Pattern,Left low weave: left hand low-native / right hand low-non-native.,,,,,,
Direction,"Source Mel graph is same-clockwise at facing 0. Target Mel graph is same-counterclockwise at facing 180, while both poi preserve clockwise motion in the observer-fixed world frame.",,,,,,
2,0,L b up,L b up,source,,,
3,0,L b down,L b down,source,Turn left between 3 and 4: left hold; right hold.,,
4,180,C b up,C b up,target,First exact target offset 0 row.,,
5,180,L a down,L a down,target,,,
6,180,L a up,L a up,target,,,
7,180,C b down,C b down,target,,,
8,180,C b up,C b up,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-0-TURN-LEFT — CANDIDATE D OF 4,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 0; turn left.,,,,,,
Shortest bridge,1 halfbeat; left cross; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b up,L b up,source,,,
1,0,L b down,L b down,source,,,
2,0,C a up,C a up,source,,,
3,0,C a down,C a down,source,Turn left between 3 and 4: left cross; right cross.,,
4,180,C b up,C b up,target,First exact target offset 0 row.,,
5,180,L a down,L a down,target,,,
6,180,L a up,L a up,target,,,
7,180,C b down,C b down,target,,,
8,180,C b up,C b up,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-0-TURN-RIGHT — CANDIDATE A OF 4,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 0; turn right.,,,,,,
Shortest bridge,1 halfbeat; left cross; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a up,C a up,source,,,
1,0,C a down,C a down,source,,,
2,0,L b up,L b up,source,,,
3,0,L b down,L b down,source,Turn right between 3 and 4: left cross; right cross.,,
4,180,L a up,L a up,target,First exact target offset 0 row.,,
5,180,C b down,C b down,target,,,
6,180,C b up,C b up,target,,,
7,180,L a down,L a down,target,,,
8,180,L a up,L a up,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-0-TURN-RIGHT — CANDIDATE B OF 4,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 0; turn right.,,,,,,
Shortest bridge,1 halfbeat; left cross; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a down,C a down,source,,,
1,0,L b up,L b up,source,,,
2,0,L b down,L b down,source,,,
3,0,C a up,C a up,source,Turn right between 3 and 4: left cross; right cross.,,
4,180,C b down,C b down,target,First exact target offset 0 row.,,
5,180,C b up,C b up,target,,,
6,180,L a down,L a down,target,,,
7,180,L a up,L a up,target,,,
8,180,C b down,C b down,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-0-TURN-RIGHT — CANDIDATE C OF 4,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 0; turn right.,,,,,,
Shortest bridge,1 halfbeat; left hold; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a down,C a down,source,,,
1,0,L b up,L b up,source,,,
2,0,L b down,L b down,source,,,
3,0,C a up,C a up,source,Turn right between 3 and 4: left hold; right hold.,,
4,180,L a down,L a down,target,First exact target offset 0 row.,,
5,180,L a up,L a up,target,,,
6,180,C b down,C b down,target,,,
7,180,C b up,C b up,target,,,
8,180,L a down,L a down,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-0-TURN-RIGHT — CANDIDATE D OF 4,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 0; turn right.,,,,,,
Shortest bridge,1 halfbeat; left hold; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b up,L b up,source,,,
1,0,L b down,L b down,source,,,
2,0,C a up,C a up,source,,,
3,0,C a down,C a down,source,Turn right between 3 and 4: left hold; right hold.,,
4,180,L a up,L a up,target,First exact target offset 0 row.,,
5,180,C b down,C b down,target,,,
6,180,C b up,C b up,target,,,
7,180,L a down,L a down,target,,,
8,180,L a up,L a up,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-2-TURN-LEFT — CANDIDATE A OF 2,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 2; turn left.,,,,,,
Shortest bridge,1 halfbeat; left cross; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b down,L b down,source,,,
1,0,C a up,C a up,source,,,
2,0,C a down,C a down,source,,,
3,0,L b up,L b up,source,Turn left between 3 and 4: left cross; right hold.,,
4,180,L a down,C b down,target,First exact target offset 2 row.,,
5,180,L a up,C b up,target,,,
6,180,C b down,L a down,target,,,
7,180,C b up,L a up,target,,,
8,180,L a down,C b down,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-2-TURN-LEFT — CANDIDATE B OF 2,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 2; turn left.,,,,,,
Shortest bridge,1 halfbeat; left hold; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b down,L b down,source,,,
1,0,C a up,C a up,source,,,
2,0,C a down,C a down,source,,,
3,0,L b up,L b up,source,Turn left between 3 and 4: left hold; right cross.,,
4,180,C b down,L a down,target,First exact target offset 2 row.,,
5,180,C b up,L a up,target,,,
6,180,L a down,C b down,target,,,
7,180,L a up,C b up,target,,,
8,180,C b down,L a down,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-2-TURN-RIGHT — CANDIDATE A OF 2,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 2; turn right.,,,,,,
Shortest bridge,1 halfbeat; left cross; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a down,C a down,source,,,
1,0,L b up,L b up,source,,,
2,0,L b down,L b down,source,,,
3,0,C a up,C a up,source,Turn right between 3 and 4: left cross; right hold.,,
4,180,C b down,L a down,target,First exact target offset 2 row.,,
5,180,C b up,L a up,target,,,
6,180,L a down,C b down,target,,,
7,180,L a up,C b up,target,,,
8,180,C b down,L a down,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-2-TURN-RIGHT — CANDIDATE B OF 2,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 2; turn right.,,,,,,
Shortest bridge,1 halfbeat; left hold; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a down,C a down,source,,,
1,0,L b up,L b up,source,,,
2,0,L b down,L b down,source,,,
3,0,C a up,C a up,source,Turn right between 3 and 4: left hold; right cross.,,
4,180,L a down,C b down,target,First exact target offset 2 row.,,
5,180,L a up,C b up,target,,,
6,180,C b down,L a down,target,,,
7,180,C b up,L a up,target,,,
8,180,L a down,C b down,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-1-TO-1-TURN-LEFT — CANDIDATE A OF 2,,,,,,,
Fixed endpoints,SS source offset 1 → SS target offset 1; turn left.,,,,,,
Shortest bridge,1 halfbeat; left cross; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b down,L b up,source,,,
1,0,C a up,L b down,source,,,
2,0,C a down,C a up,source,,,
3,0,L b up,C a down,source,Turn left between 3 and 4: left cross; right cross.,,
4,180,L a down,C b up,target,First exact target offset 1 row.,,
5,180,L a up,L a down,target,,,
6,180,C b down,L a up,target,,,
7,180,C b up,C b down,target,,,
8,180,L a down,C b up,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-1-TO-1-TURN-LEFT — CANDIDATE B OF 2,,,,,,,
Fixed endpoints,SS source offset 1 → SS target offset 1; turn left.,,,,,,
Shortest bridge,1 halfbeat; left hold; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a up,L b down,source,,,
1,0,C a down,C a up,source,,,
2,0,L b up,C a down,source,,,
3,0,L b down,L b up,source,Turn left between 3 and 4: left hold; right hold.,,
4,180,C b up,C b down,target,First exact target offset 1 row.,,
5,180,L a down,C b up,target,,,
6,180,L a up,L a down,target,,,
7,180,C b down,L a up,target,,,
8,180,C b up,C b down,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-1-TO-1-TURN-RIGHT — CANDIDATE A OF 2,,,,,,,
Fixed endpoints,SS source offset 1 → SS target offset 1; turn right.,,,,,,
Shortest bridge,1 halfbeat; left cross; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a down,C a up,source,,,
1,0,L b up,C a down,source,,,
2,0,L b down,L b up,source,,,
3,0,C a up,L b down,source,Turn right between 3 and 4: left cross; right cross.,,
4,180,C b down,L a up,target,First exact target offset 1 row.,,
5,180,C b up,C b down,target,,,
6,180,L a down,C b up,target,,,
7,180,L a up,L a down,target,,,
8,180,C b down,L a up,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-1-TO-1-TURN-RIGHT — CANDIDATE B OF 2,,,,,,,
Fixed endpoints,SS source offset 1 → SS target offset 1; turn right.,,,,,,
Shortest bridge,1 halfbeat; left hold; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b up,C a down,source,,,
1,0,L b down,L b up,source,,,
2,0,C a up,L b down,source,,,
3,0,C a down,C a up,source,Turn right between 3 and 4: left hold; right hold.,,
4,180,L a up,L a down,target,First exact target offset 1 row.,,
5,180,C b down,L a up,target,,,
6,180,C b up,C b down,target,,,
7,180,L a down,C b up,target,,,
8,180,L a up,L a down,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-1-TO-3-TURN-LEFT — CANDIDATE A OF 2,,,,,,,
Fixed endpoints,SS source offset 1 → SS target offset 3; turn left.,,,,,,
Shortest bridge,1 halfbeat; left hold; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b down,L b up,source,,,
1,0,C a up,L b down,source,,,
2,0,C a down,C a up,source,,,
3,0,L b up,C a down,source,Turn left between 3 and 4: left hold; right cross.,,
4,180,C b down,C b up,target,First exact target offset 3 row.,,
5,180,C b up,L a down,target,,,
6,180,L a down,L a up,target,,,
7,180,L a up,C b down,target,,,
8,180,C b down,C b up,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-1-TO-3-TURN-LEFT — CANDIDATE B OF 2,,,,,,,
Fixed endpoints,SS source offset 1 → SS target offset 3; turn left.,,,,,,
Shortest bridge,1 halfbeat; left hold; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a up,L b down,source,,,
1,0,C a down,C a up,source,,,
2,0,L b up,C a down,source,,,
3,0,L b down,L b up,source,Turn left between 3 and 4: left hold; right cross.,,
4,180,C b up,L a down,target,First exact target offset 3 row.,,
5,180,L a down,L a up,target,,,
6,180,L a up,C b down,target,,,
7,180,C b down,C b up,target,,,
8,180,C b up,L a down,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-1-TO-3-TURN-RIGHT — CANDIDATE A OF 2,,,,,,,
Fixed endpoints,SS source offset 1 → SS target offset 3; turn right.,,,,,,
Shortest bridge,1 halfbeat; left hold; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a down,C a up,source,,,
1,0,L b up,C a down,source,,,
2,0,L b down,L b up,source,,,
3,0,C a up,L b down,source,Turn right between 3 and 4: left hold; right cross.,,
4,180,L a down,L a up,target,First exact target offset 3 row.,,
5,180,L a up,C b down,target,,,
6,180,C b down,C b up,target,,,
7,180,C b up,L a down,target,,,
8,180,L a down,L a up,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-1-TO-3-TURN-RIGHT — CANDIDATE B OF 2,,,,,,,
Fixed endpoints,SS source offset 1 → SS target offset 3; turn right.,,,,,,
Shortest bridge,1 halfbeat; left hold; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b up,C a down,source,,,
1,0,L b down,L b up,source,,,
2,0,C a up,L b down,source,,,
3,0,C a down,C a up,source,Turn right between 3 and 4: left hold; right cross.,,
4,180,L a up,C b down,target,First exact target offset 3 row.,,
5,180,C b down,C b up,target,,,
6,180,C b up,L a down,target,,,
7,180,L a down,L a up,target,,,
8,180,L a up,C b down,target,Target cycle closes.,,
,,,,,,,
