UNRESOLVED MEL-TURNING ISSUES,,,,
Status,"CANDIDATES / QUESTIONS — derived from the current verified evidence and partial topology model; every movement row below still needs physical review.",,,
,,,,
CASE U1B — ALTERNATIVE Lb CROSS THROUGH RIGHT GATE,,,,
Hypothesis,"Move the turn to Lb a down → Lb b up. Lb is on the front circle; counterclockwise down→up points right, matching a front-circle turn right.",,,
t,facing,right,Body edge / verification note,
0,0,Cb b down,,
1,0,Cb b up,,
2,0,Lb a down,Turn happens between 2 and 3; verify that this is the intended body/hand location.,
3,180,Lb b up,,
4,180,Cb a down,,
5,180,Cb a up,,
6,180,Lb b down,,
7,180,Lb b up,,
,,,,
CASE U2 — SO NON-NATIVE CHASING-2 → CHASING-2 TURN LEFT,,,,
Hypothesis,"Corrected earlier edge: left crosses A→B while right holds B into ordinary C b. Individually topology-valid; joint movement unverified.",,,
t,facing,left,right,Body edge / verification note
0,0,R b down,C a up,
1,0,R b up,L b down,
2,0,C a down,L b up,
3,0,C a up,C a down,
4,0,R b down,C a up,
5,0,R b up,L b down,
6,0,C a down,L b up,Turn happens between 6 and 7. Left crosses through left gate; right holds B into ordinary C b.
7,180,C b up,C b down,
8,180,C b down,C b up,
9,180,R a up,C b down,
10,180,R a down,L a up,
11,180,C b up,L a down,
12,180,C b down,C b up,
,,,,
CASE U3 — SS COUNTER → UNISON TURN LEFT,,,,
Hypothesis,"Corrected wheel/open edge: left holds B into ordinary C b while right crosses A→B. Individually topology-valid; joint movement unverified.",,,
t,facing,left,right,Body edge / verification note
0,0,L b down,C a up,
1,0,C a up,R b down,
2,0,C a down,R b up,
3,0,L b up,C a down,
4,0,L b down,C a up,
5,0,C a up,R b down,
6,0,C a down,R b up,
7,0,L b up,C a down,Turn happens between 7 and 8. Left holds B into ordinary C b; right crosses through left gate.
8,180,C b down,C b up,
9,180,C b up,C b down,
10,180,L a down,R a up,
11,180,L a up,R a down,
12,180,C b down,C b up,
,,,,
CASE U4A — TO UNISON → UNISON TURN LEFT — NORMALIZED SOURCE CHECK,,,,
Hypothesis,"At t4 the left is L b up, not front C b up. Left holds B into ordinary C b while right crosses A→B.",,,
t,facing,left,right,Body edge / verification note
0,0,C a up,C a up,
1,0,C a down,C a down,
2,0,L b up,R b up,
3,0,L b down,R b down,
4,0,L b up,C a up,Turn happens between 4 and 5. Verify the L b normalization.
5,180,C b down,C b down,
6,180,C b up,C b up,
7,180,L a down,R a down,
8,180,L a up,R a up,
,,,,
CASE U4B — TO UNISON → COUNTER TURN LEFT — NORMALIZED SOURCE CHECK,,,,
Hypothesis,"At t4 the left is L b up, not front C b up. Left holds B into ordinary C b while right holds A into R a.",,,
t,facing,left,right,Body edge / verification note
0,0,C a up,C a up,
1,0,C a down,C a down,
2,0,L b up,R b up,
3,0,L b down,R b down,
4,0,L b up,C a up,Turn happens between 4 and 5. Verify the L b normalization.
5,180,C b down,R a down,
6,180,C b up,R a up,
7,180,L a down,C b down,
8,180,L a up,C b up,
